Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	179	Fc4:1 - 3	924.7	179	Ag124-Fc		426_B1_1_01_D08
Yes	179	Fc4:2 - 3	38.5	179	Ag124 IgV		426_B1_1_01_D08
Yes	180	Fc1:1 - 3	258.8	180	Ag124-Fc		426_B1_1_01_A09
Yes	180	Fc1:2 - 3	67.6	180	Ag124 IgV		426_B1_1_01_A09
Yes	180	Fc2:1 - 3	7.2	180	Ag124-Fc		426_B1_1_01_B09
Yes	180	Fc2:2 - 3	28.9	180	Ag124 IgV		426_B1_1_01_B09
Yes	180	Fc3:1 - 3	422.5	180	Ag124-Fc		426_B1_1_01_C09
Yes	180	Fc3:2 - 3	56.7	180	Ag124 IgV		426_B1_1_01_C09
Yes	180	Fc4:1 - 3	412.0	180	Ag124-Fc		426_B1_1_01_D09
Yes	180	Fc4:2 - 3	56.6	180	Ag124 IgV		426_B1_1_01_D09
Yes	181	Fc1:1 - 3	468.9	181	Ag124-Fc		426_B1_1_01_A10
Yes	181	Fc1:2 - 3	68.3	181	Ag124 IgV		426_B1_1_01_A10
Yes	181	Fc2:1 - 3	891.6	181	Ag124-Fc		426_B1_1_01_B10
Yes	181	Fc2:2 - 3	48.9	181	Ag124 IgV		426_B1_1_01_B10
Yes	181	Fc3:1 - 3	-4.3	181	Ag124-Fc		426_B1_1_01_C10
Yes	181	Fc3:2 - 3	8.1	181	Ag124 IgV		426_B1_1_01_C10
Yes	181	Fc4:1 - 3	1074.9	181	Ag124-Fc		426_B1_1_01_D10
Yes	181	Fc4:2 - 3	64.7	181	Ag124 IgV		426_B1_1_01_D10
Yes	182	Fc1:1 - 3	-8.0	182	Ag124-Fc		426_B1_1_01_A11
Yes	182	Fc1:2 - 3	0.8	182	Ag124 IgV		426_B1_1_01_A11
Yes	182	Fc2:1 - 3	31.4	182	Ag124-Fc		426_B1_1_01_B11
Yes	182	Fc2:2 - 3	43.3	182	Ag124 IgV		426_B1_1_01_B11
Yes	182	Fc3:1 - 3	-3.1	182	Ag124-Fc		426_B1_1_01_C11
Yes	182	Fc3:2 - 3	8.5	182	Ag124 IgV		426_B1_1_01_C11
Yes	182	Fc4:1 - 3	314.9	182	Ag124-Fc		426_B1_1_01_D11
