Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	210	Fc2:2 - 3	23.2	210	Ag124 IgV		428_B1_1_01_F03
Yes	210	Fc3:1 - 3	0.7	210	Ag124-Fc		428_B1_1_01_G03
Yes	210	Fc3:2 - 3	10.6	210	Ag124 IgV		428_B1_1_01_G03
Yes	210	Fc4:1 - 3	18.6	210	Ag124-Fc		428_B1_1_01_H03
Yes	210	Fc4:2 - 3	51.6	210	Ag124 IgV		428_B1_1_01_H03
Yes	211	Fc1:1 - 3	-1.2	211	Ag124-Fc		428_B1_1_01_E04
Yes	211	Fc1:2 - 3	9.1	211	Ag124 IgV		428_B1_1_01_E04
Yes	211	Fc2:1 - 3	-3.3	211	Ag124-Fc		428_B1_1_01_F04
Yes	211	Fc2:2 - 3	9.3	211	Ag124 IgV		428_B1_1_01_F04
Yes	211	Fc3:1 - 3	13.0	211	Ag124-Fc		428_B1_1_01_G04
Yes	211	Fc3:2 - 3	31.9	211	Ag124 IgV		428_B1_1_01_G04
Yes	211	Fc4:1 - 3	-3.5	211	Ag124-Fc		428_B1_1_01_H04
Yes	211	Fc4:2 - 3	6.9	211	Ag124 IgV		428_B1_1_01_H04
Yes	212	Fc1:1 - 3	0.9	212	Ag124-Fc		428_B1_1_01_E05
Yes	212	Fc1:2 - 3	17.1	212	Ag124 IgV		428_B1_1_01_E05
Yes	212	Fc2:1 - 3	-2.2	212	Ag124-Fc		428_B1_1_01_F05
Yes	212	Fc2:2 - 3	12.6	212	Ag124 IgV		428_B1_1_01_F05
Yes	212	Fc3:1 - 3	1.2	212	Ag124-Fc		428_B1_1_01_G05
Yes	212	Fc3:2 - 3	11.7	212	Ag124 IgV		428_B1_1_01_G05
Yes	212	Fc4:1 - 3	-1.3	212	Ag124-Fc		428_B1_1_01_H05
Yes	212	Fc4:2 - 3	10.3	212	Ag124 IgV		428_B1_1_01_H05
Yes	213	Fc1:1 - 3	12.5	213	Ag124-Fc		428_B1_1_01_E06
Yes	213	Fc1:2 - 3	35.7	213	Ag124 IgV		428_B1_1_01_E06
Yes	213	Fc2:1 - 3	-0.6	213	Ag124-Fc		428_B1_1_01_F06
Yes	213	Fc2:2 - 3	13.7	213	Ag124 IgV		428_B1_1_01_F06
Yes	213	Fc3:1 - 3	6.6	213	Ag124-Fc		428_B1_1_01_G06
Yes	213	Fc3:2 - 3	25.6	213	Ag124 IgV		428_B1_1_01_G06
Yes	213	Fc4:1 - 3	-1.5	213	Ag124-Fc		428_B1_1_01_H06
Yes	213	Fc4:2 - 3	9.9	213	Ag124 IgV		428_B1_1_01_H06
Yes	214	Fc1:1 - 3	-2.6	214	Ag124-Fc		428_B1_1_01_E07
Yes	214	Fc1:2 - 3	6.5	214	Ag124 IgV		428_B1_1_01_E07
Yes	214	Fc2:1 - 3	-1.2	214	Ag124-Fc		428_B1_1_01_F07
Yes	214	Fc2:2 - 3	15.5	214	Ag124 IgV		428_B1_1_01_F07
Yes	214	Fc3:1 - 3	-1.0	214	Ag124-Fc		428_B1_1_01_G07
Yes	214	Fc3:2 - 3	9.6	214	Ag124 IgV		428_B1_1_01_G07
Yes	214	Fc4:1 - 3	-0.9	214	Ag124-Fc		428_B1_1_01_H07
Yes	214	Fc4:2 - 3	12.1	214	Ag124 IgV		428_B1_1_01_H07
Yes	215	Fc1:1 - 3	-2.4	215	Ag124-Fc		428_B1_1_01_E08
Yes	215	Fc1:2 - 3	8.6	215	Ag124 IgV		428_B1_1_01_E08
Yes	215	Fc2:1 - 3	-1.4	215	Ag124-Fc		428_B1_1_01_F08
Yes	215	Fc2:2 - 3	14.6	215	Ag124 IgV		428_B1_1_01_F08
Yes	215	Fc3:1 - 3	-0.6	215	Ag124-Fc		428_B1_1_01_G08
Yes	215	Fc3:2 - 3	10.1	215	Ag124 IgV		428_B1_1_01_G08
Yes	215	Fc4:1 - 3	-1.2	215	Ag124-Fc		428_B1_1_01_H08
Yes	215	Fc4:2 - 3	11.8	215	Ag124 IgV		428_B1_1_01_H08
Yes	216	Fc1:1 - 3	-1.6	216	Ag124-Fc		428_B1_1_01_E09
Yes	216	Fc1:2 - 3	8.7	216	Ag124 IgV		428_B1_1_01_E09
Yes	216	Fc2:1 - 3	2.9	216	Ag124-Fc		428_B1_1_01_F09
Yes	216	Fc2:2 - 3	19.3	216	Ag124 IgV		428_B1_1_01_F09
Yes	216	Fc3:1 - 3	18.7	216	Ag124-Fc		428_B1_1_01_G09
Yes	216	Fc3:2 - 3	41.0	216	Ag124 IgV		428_B1_1_01_G09
Yes	216	Fc4:1 - 3	-0.7	216	Ag124-Fc		428_B1_1_01_H09
Yes	216	Fc4:2 - 3	11.7	216	Ag124 IgV		428_B1_1_01_H09
Yes	217	Fc1:1 - 3	-2.6	217	Ag124-Fc		428_B1_1_01_E10
Yes	217	Fc1:2 - 3	8.4	217	Ag124 IgV		428_B1_1_01_E10
Yes	217	Fc2:1 - 3	2.9	217	Ag124-Fc		428_B1_1_01_F10
Yes	217	Fc2:2 - 3	19.0	217	Ag124 IgV		428_B1_1_01_F10
Yes	217	Fc3:1 - 3	-1.1	217	Ag124-Fc		428_B1_1_01_G10
Yes	217	Fc3:2 - 3	11.0	217	Ag124 IgV		428_B1_1_01_G10
Yes	217	Fc4:1 - 3	-1.0	217	Ag124-Fc		428_B1_1_01_H10
Yes	217	Fc4:2 - 3	12.4	217	Ag124 IgV		428_B1_1_01_H10
Yes	218	Fc1:1 - 3	-1.6	218	Ag124-Fc		428_B1_1_01_E11
Yes	218	Fc1:2 - 3	11.3	218	Ag124 IgV		428_B1_1_01_E11
Yes	218	Fc2:1 - 3	-0.8	218	Ag124-Fc		428_B1_1_01_F11
Yes	218	Fc2:2 - 3	11.3	218	Ag124 IgV		428_B1_1_01_F11
Yes	218	Fc3:1 - 3	-1.3	218	Ag124-Fc		428_B1_1_01_G11
Yes	218	Fc3:2 - 3	8.1	218	Ag124 IgV		428_B1_1_01_G11
Yes	218	Fc4:1 - 3	2.9	218	Ag124-Fc		428_B1_1_01_H11
Yes	218	Fc4:2 - 3	16.7	218	Ag124 IgV		428_B1_1_01_H11
Yes	219	Fc1:1 - 3	-2.0	219	Ag124-Fc		428_B1_1_01_E12
Yes	219	Fc1:2 - 3	10.6	219	Ag124 IgV		428_B1_1_01_E12
Yes	219	Fc2:1 - 3	-2.5	219	Ag124-Fc		428_B1_1_01_F12
Yes	219	Fc2:2 - 3	11.4	219	Ag124 IgV		428_B1_1_01_F12
Yes	219	Fc3:1 - 3	0.2	219	Ag124-Fc		428_B1_1_01_G12
Yes	219	Fc3:2 - 3	12.2	219	Ag124 IgV		428_B1_1_01_G12
Yes	219	Fc4:1 - 3	-4.5	219	Ag124-Fc		428_B1_1_01_H12
Yes	219	Fc4:2 - 3	-4.1	219	Ag124 IgV		428_B1_1_01_H12
Yes	220	Fc1:1 - 3	-0.6	220	Ag124-Fc		Ag124 IgV
Yes	220	Fc1:2 - 3	0.4	220	Ag124 IgV		Ag124 IgV
Yes	220	Fc2:1 - 3	-0.9	220	Ag124-Fc		Ag124 IgV
Yes	220	Fc2:2 - 3	1.4	220	Ag124 IgV		Ag124 IgV
Yes	220	Fc3:1 - 3	-1.7	220	Ag124-Fc		Ag124 IgV
Yes	220	Fc3:2 - 3	-0.3	220	Ag124 IgV		Ag124 IgV
Yes	220	Fc4:1 - 3	-1.5	220	Ag124-Fc		Ag124 IgV
Yes	220	Fc4:2 - 3	1.1	220	Ag124 IgV		Ag124 IgV
Yes	221	Fc1:1 - 3	-2.9	221	Ag124-Fc		buffer
Yes	221	Fc1:2 - 3	-3.6	221	Ag124 IgV		buffer
Yes	221	Fc2:1 - 3	-3.0	221	Ag124-Fc		buffer
Yes	221	Fc2:2 - 3	-2.2	221	Ag124 IgV		buffer
Yes	221	Fc3:1 - 3	-3.6	221	Ag124-Fc		buffer
Yes	221	Fc3:2 - 3	-3.5	221	Ag124 IgV		buffer
Yes	221	Fc4:1 - 3	-3.6	221	Ag124-Fc		buffer
Yes	221	Fc4:2 - 3	-2.9	221	Ag124 IgV		buffer
Yes	223	Fc1:1 - 3	-6.3	223	Ag124-Fc		ctrl PPE
Yes	223	Fc1:2 - 3	28.5	223	Ag124 IgV		ctrl PPE
Yes	223	Fc2:1 - 3	-5.5	223	Ag124-Fc		ctrl PPE
Yes	223	Fc2:2 - 3	29.5	223	Ag124 IgV		ctrl PPE
Yes	223	Fc3:1 - 3	-4.1	223	Ag124-Fc		ctrl PPE
Yes	223	Fc3:2 - 3	30.0	223	Ag124 IgV		ctrl PPE
Yes	223	Fc4:1 - 3	-6.3	223	Ag124-Fc		ctrl PPE
Yes	223	Fc4:2 - 3	30.1	223	Ag124 IgV		ctrl PPE
Yes	225	Fc1:1 - 3	-5.9	225	Ag124-Fc		buffer
Yes	225	Fc1:2 - 3	-4.3	225	Ag124 IgV		buffer
Yes	225	Fc2:1 - 3	-5.5	225	Ag124-Fc		buffer
Yes	225	Fc2:2 - 3	-2.7	225	Ag124 IgV		buffer
Yes	225	Fc3:1 - 3	-6.0	225	Ag124-Fc		buffer
Yes	225	Fc3:2 - 3	-3.8	225	Ag124 IgV		buffer
Yes	225	Fc4:1 - 3	-6.4	225	Ag124-Fc		buffer
Yes	225	Fc4:2 - 3	-3.6	225	Ag124 IgV		buffer
Yes	226	Fc1:1 - 3	1263.8	226	Ag124-Fc		Ag126-Fc
Yes	226	Fc1:2 - 3	63.7	226	Ag124 IgV		Ag126-Fc
Yes	226	Fc2:1 - 3	1214.7	226	Ag124-Fc		Ag126-Fc
Yes	226	Fc2:2 - 3	72.1	226	Ag124 IgV		Ag126-Fc
Yes	226	Fc3:1 - 3	1264.4	226	Ag124-Fc		Ag126-Fc
Yes	226	Fc3:2 - 3	55.4	226	Ag124 IgV		Ag126-Fc
Yes	226	Fc4:1 - 3	1314.1	226	Ag124-Fc		Ag126-Fc
Yes	226	Fc4:2 - 3	65.7	226	Ag124 IgV		Ag126-Fc
Yes	227	Fc1:1 - 3	-187.4	227	Ag124-Fc		buffer
Yes	227	Fc1:2 - 3	-6.1	227	Ag124 IgV		buffer
Yes	227	Fc2:1 - 3	-178.4	227	Ag124-Fc		buffer
Yes	227	Fc2:2 - 3	-5.0	227	Ag124 IgV		buffer
Yes	227	Fc3:1 - 3	-186.4	227	Ag124-Fc		buffer
Yes	227	Fc3:2 - 3	-5.3	227	Ag124 IgV		buffer
Yes	227	Fc4:1 - 3	-193.9	227	Ag124-Fc		buffer
Yes	227	Fc4:2 - 3	-5.1	227	Ag124 IgV		buffer
Yes	228	Fc1:1 - 3	-74.1	228	Ag124-Fc		Ag124-Fc
Yes	228	Fc1:2 - 3	-24.7	228	Ag124 IgV		Ag124-Fc
Yes	228	Fc2:1 - 3	-67.9	228	Ag124-Fc		Ag124-Fc
Yes	228	Fc2:2 - 3	-16.4	228	Ag124 IgV		Ag124-Fc
Yes	228	Fc3:1 - 3	-73.1	228	Ag124-Fc		Ag124-Fc
Yes	228	Fc3:2 - 3	-22.9	228	Ag124 IgV		Ag124-Fc
Yes	228	Fc4:1 - 3	-78.4	228	Ag124-Fc		Ag124-Fc
Yes	228	Fc4:2 - 3	-24.4	228	Ag124 IgV		Ag124-Fc
Yes	229	Fc1:1 - 3	-38.7	229	Ag124-Fc		buffer
Yes	229	Fc1:2 - 3	-3.9	229	Ag124 IgV		buffer
Yes	229	Fc2:1 - 3	-35.6	229	Ag124-Fc		buffer
Yes	229	Fc2:2 - 3	-3.5	229	Ag124 IgV		buffer
Yes	229	Fc3:1 - 3	-38.4	229	Ag124-Fc		buffer
Yes	229	Fc3:2 - 3	-3.5	229	Ag124 IgV		buffer
Yes	229	Fc4:1 - 3	-40.5	229	Ag124-Fc		buffer
Yes	229	Fc4:2 - 3	-2.9	229	Ag124 IgV		buffer
Yes	230	Fc1:1 - 3	1054.7	230	Ag124-Fc		Ag127
Yes	230	Fc1:2 - 3	35.0	230	Ag124 IgV		Ag127
Yes	230	Fc2:1 - 3	957.6	230	Ag124-Fc		Ag127
Yes	230	Fc2:2 - 3	34.2	230	Ag124 IgV		Ag127
Yes	230	Fc3:1 - 3	1034.0	230	Ag124-Fc		Ag127
Yes	230	Fc3:2 - 3	18.6	230	Ag124 IgV		Ag127
Yes	230	Fc4:1 - 3	1077.7	230	Ag124-Fc		Ag127
Yes	230	Fc4:2 - 3	25.8	230	Ag124 IgV		Ag127
Yes	231	Fc1:1 - 3	-6.2	231	Ag124-Fc		buffer
Yes	231	Fc1:2 - 3	-5.4	231	Ag124 IgV		buffer
Yes	231	Fc2:1 - 3	-5.0	231	Ag124-Fc		buffer
Yes	231	Fc2:2 - 3	-4.6	231	Ag124 IgV		buffer
Yes	231	Fc3:1 - 3	-6.1	231	Ag124-Fc		buffer
Yes	231	Fc3:2 - 3	-4.3	231	Ag124 IgV		buffer
Yes	231	Fc4:1 - 3	-6.2	231	Ag124-Fc		buffer
Yes	231	Fc4:2 - 3	-4.4	231	Ag124 IgV		buffer
