Sample	CHOKO 22	CHOKO 22 HuLPAR1	Ratio
63: Specimen_001_C15_C15.fcs	131	262	2
64: Specimen_001_C16_C16.fcs	4019	4895	1.22
65: Specimen_001_C17_C17.fcs	168	245	1.46
66: Specimen_001_C18_C18.fcs	2357	3130	1.33
67: Specimen_001_C19_C19.fcs	142	207	1.46
68: Specimen_001_C20_C20.fcs	238	319	1.34
69: Specimen_001_C21_C21.fcs	1948	2486	1.28
70: Specimen_001_C22_C22.fcs	161	327	2.03
71: Specimen_001_C23_C23.fcs	271	371	1.37
72: Specimen_001_C24_C24.fcs	202	319	1.58
73: Specimen_001_D1_D01.fcs	261	474	1.82
74: Specimen_001_D2_D02.fcs	4255	5542	1.3
75: Specimen_001_D3_D03.fcs	2295	3081	1.34
76: Specimen_001_D4_D04.fcs	163	235	1.44
77: Specimen_001_D5_D05.fcs	1702	2362	1.39
78: Specimen_001_D6_D06.fcs	5074	6002	1.18
79: Specimen_001_D7_D07.fcs	203	268	1.32
80: Specimen_001_D8_D08.fcs	4089	5080	1.24
81: Specimen_001_D9_D09.fcs	289	300	1.04
82: Specimen_001_D10_D10.fcs	179	249	1.39
83: Specimen_001_D11_D11.fcs	200	270	1.35
84: Specimen_001_D12_D12.fcs	137	235	1.72
85: Specimen_001_D13_D13.fcs	163	287	1.76
86: Specimen_001_D14_D14.fcs	604	1674	2.77
87: Specimen_001_D15_D15.fcs	225	261	1.16
88: Specimen_001_D16_D16.fcs	530	1363	2.57
89: Specimen_001_D17_D17.fcs	1632	2141	1.31
90: Specimen_001_D18_D18.fcs	4606	5818	1.26
91: Specimen_001_D19_D19.fcs	10162	6918	0.68
92: Specimen_001_D20_D20.fcs	4789	5481	1.14
93: Specimen_001_D21_D21.fcs	286	327	1.14
94: Specimen_001_D22_D22.fcs	465	663	1.43
95: Specimen_001_D23_D23.fcs	179	250	1.4
96: Specimen_001_D24_D24.fcs	180	277	1.54
97: Specimen_001_E1_E01.fcs	163	248	1.52
98: Specimen_001_E2_E02.fcs	675	2012	2.98
99: Specimen_001_E3_E03.fcs	912	4166	4.57
100: Specimen_001_E4_E04.fcs	985	14108	14.3
101: Specimen_001_E5_E05.fcs	281	513	1.83
102: Specimen_001_E6_E06.fcs	5093	4019	0.79
103: Specimen_001_E7_E07.fcs	202	267	1.32
104: Specimen_001_E8_E08.fcs	94.5	125	1.32
105: Specimen_001_E9_E09.fcs	390	902	2.31
106: Specimen_001_E10_E10.fcs	682	2110	3.09
107: Specimen_001_E11_E11.fcs	184	552	3
108: Specimen_001_E12_E12.fcs	130	252	1.94
109: Specimen_001_E13_E13.fcs	196	294	1.5
110: Specimen_001_E14_E14.fcs	208	268	1.29
111: Specimen_001_E15_E15.fcs	626	857	1.37
112: Specimen_001_E16_E16.fcs	220	276	1.25
113: Specimen_001_E17_E17.fcs	261	320	1.23
114: Specimen_001_E18_E18.fcs	1582	2127	1.34
115: Specimen_001_E19_E19.fcs	2767	2543	0.92
116: Specimen_001_E20_E20.fcs	174	282	1.62
117: Specimen_001_E21_E21.fcs	291	518	1.78
118: Specimen_001_E22_E22.fcs	388	416	1.07
119: Specimen_001_E23_E23.fcs	131	341	2.6
120: Specimen_001_E24_E24.fcs	228	457	2
121: Specimen_001_F1_F01.fcs	144	240	1.67
122: Specimen_001_F2_F02.fcs	1105	3470	3.14
123: Specimen_001_F3_F03.fcs	4763	3387	0.71
124: Specimen_001_F4_F04.fcs	117	187	1.6
125: Specimen_001_F5_F05.fcs	170	181	1.06
126: Specimen_001_F6_F06.fcs	342	376	1.1
127: Specimen_001_F7_F07.fcs	461	412	0.89
128: Specimen_001_F8_F08.fcs	1646	2451	1.49
129: Specimen_001_F9_F09.fcs	1463	1707	1.17
130: Specimen_001_F10_F10.fcs	4692	5467	1.17
131: Specimen_001_F11_F11.fcs	959	1465	1.53
132: Specimen_001_F12_F12.fcs	222	287	1.29
133: Specimen_001_F13_F13.fcs	562	1554	2.77
134: Specimen_001_F14_F14.fcs	404	979	2.42
135: Specimen_001_F15_F15.fcs	216	301	1.39
136: Specimen_001_F16_F16.fcs	1573	2173	1.38
137: Specimen_001_F17_F17.fcs	267	531	1.99
138: Specimen_001_F18_F18.fcs	201	411	2.04
139: Specimen_001_F19_F19.fcs	775	656	0.85
140: Specimen_001_F20_F20.fcs	4308	5471	1.27
141: Specimen_001_F21_F21.fcs	273	346	1.27
142: Specimen_001_F22_F22.fcs	302	281	0.93
143: Specimen_001_F23_F23.fcs	3072	5818	1.89
144: Specimen_001_F24_F24.fcs	200	269	1.34
145: Specimen_001_G1_G01.fcs	200	316	1.58
146: Specimen_001_G2_G02.fcs	320	401	1.25
147: Specimen_001_G3_G03.fcs	294	340	1.16
148: Specimen_001_G4_G04.fcs	5440	3641	0.67
149: Specimen_001_G5_G05.fcs	215	286	1.33
150: Specimen_001_G6_G06.fcs	3830	5160	1.35
151: Specimen_001_G7_G07.fcs	710	965	1.36
152: Specimen_001_G8_G08.fcs	121	196	1.62
153: Specimen_001_G9_G09.fcs	165	225	1.36
154: Specimen_001_G10_G10.fcs	130	224	1.72
155: Specimen_001_G11_G11.fcs	2101	2717	1.29
156: Specimen_001_G12_G12.fcs	346	961	2.78
157: Specimen_001_G13_G13.fcs	159	263	1.65
158: Specimen_001_G14_G14.fcs	637	1964	3.08
159: Specimen_001_G15_G15.fcs	149	266	1.79
160: Specimen_001_G16_G16.fcs	130	232	1.78
161: Specimen_001_G17_G17.fcs	226	310	1.37
162: Specimen_001_G18_G18.fcs	1493	1776	1.19
163: Specimen_001_G19_G19.fcs	202	292	1.45
164: Specimen_001_G20_G20.fcs	4864	6043	1.24
165: Specimen_001_G21_G21.fcs	176	213	1.21
166: Specimen_001_G22_G22.fcs	1883	2559	1.36
167: Specimen_001_G23_G23.fcs	3873	4704	1.21
168: Specimen_001_G24_G24.fcs	3596	4205	1.17
169: Specimen_001_H1_H01.fcs	156	261	1.67
170: Specimen_001_H2_H02.fcs	391	933	2.39
171: Specimen_001_H3_H03.fcs	844	1153	1.37
172: Specimen_001_H4_H04.fcs	142	201	1.42
173: Specimen_001_H5_H05.fcs	878	1185	1.35
174: Specimen_001_H6_H06.fcs	123	205	1.67
175: Specimen_001_H7_H07.fcs	4962	5549	1.12
176: Specimen_001_H8_H08.fcs	175	322	1.84
177: Specimen_001_H9_H09.fcs	1809	2245	1.24
178: Specimen_001_H10_H10.fcs	4405	5260	1.19
179: Specimen_001_H11_H11.fcs	355	366	1.03
180: Specimen_001_H12_H12.fcs	151	248	1.64
181: Specimen_001_H13_H13.fcs	231	371	1.61
182: Specimen_001_H14_H14.fcs	245	575	2.35
183: Specimen_001_H15_H15.fcs	343	455	1.33
184: Specimen_001_H16_H16.fcs	204	244	1.2
185: Specimen_001_H17_H17.fcs	195	302	1.55
186: Specimen_001_H18_H18.fcs	268	341	1.27
187: Specimen_001_H19_H19.fcs	156	268	1.72
188: Specimen_001_H20_H20.fcs	621	986	1.59
189: Specimen_001_H21_H21.fcs	2410	3187	1.32
190: Specimen_001_H22_H22.fcs	302	355	1.18
191: Specimen_001_H23_H23.fcs	305	342	1.12
192: Specimen_001_H24_H24.fcs	3164	1311	0.41
193: Specimen_001_I1_I01.fcs	138	226	1.64
194: Specimen_001_I2_I02.fcs	3714	4340	1.17
195: Specimen_001_I3_I03.fcs	1370	2049	1.5
196: Specimen_001_I4_I04.fcs	253	743	2.94
197: Specimen_001_I5_I05.fcs	1940	2546	1.31
198: Specimen_001_I6_I06.fcs	311	692	2.23
199: Specimen_001_I7_I07.fcs	314	368	1.17
200: Specimen_001_I8_I08.fcs	212	355	1.67
201: Specimen_001_I9_I09.fcs	188	318	1.69
202: Specimen_001_I10_I10.fcs	151	222	1.47
203: Specimen_001_I11_I11.fcs	172	221	1.28
204: Specimen_001_I12_I12.fcs	550	1550	2.82
205: Specimen_001_I13_I13.fcs	355	705	1.99
206: Specimen_001_I14_I14.fcs	225	323	1.44
207: Specimen_001_I15_I15.fcs	313	507	1.62
208: Specimen_001_I16_I16.fcs	303	430	1.42
209: Specimen_001_I17_I17.fcs	2723	3483	1.28
210: Specimen_001_I18_I18.fcs	193	276	1.43
211: Specimen_001_I19_I19.fcs	2791	3526	1.26
212: Specimen_001_I20_I20.fcs	421	460	1.09
213: Specimen_001_I21_I21.fcs	197	253	1.28
214: Specimen_001_I22_I22.fcs	5563	6130	1.1
215: Specimen_001_I23_I23.fcs	1193	1766	1.48
216: Specimen_001_I24_I24.fcs	156	225	1.44
217: Specimen_001_J1_J01.fcs	4394	5163	1.18
218: Specimen_001_J2_J02.fcs	4757	5732	1.2
219: Specimen_001_J3_J03.fcs	258	401	1.55
220: Specimen_001_J4_J04.fcs	200	204	1.02
221: Specimen_001_J5_J05.fcs	552	1674	3.03
222: Specimen_001_J6_J06.fcs	6238	7223	1.16
223: Specimen_001_J7_J07.fcs	500	1424	2.85
224: Specimen_001_J8_J08.fcs	182	282	1.55
225: Specimen_001_J9_J09.fcs	386	329	0.85
226: Specimen_001_J10_J10.fcs	5011	6739	1.34
227: Specimen_001_J11_J11.fcs	273	303	1.11
228: Specimen_001_J12_J12.fcs	261	333	1.28
229: Specimen_001_J13_J13.fcs	128	259	2.02
230: Specimen_001_J14_J14.fcs	186	267	1.44
231: Specimen_001_J15_J15.fcs	193	312	1.62
232: Specimen_001_J16_J16.fcs	3769	4265	1.13
233: Specimen_001_J17_J17.fcs	211	261	1.24
234: Specimen_001_J18_J18.fcs	5519	6910	1.25
235: Specimen_001_J19_J19.fcs	505	1570	3.11
236: Specimen_001_J20_J20.fcs	370	555	1.5
237: Specimen_001_J21_J21.fcs	2801	3592	1.28
238: Specimen_001_J22_J22.fcs	1684	2221	1.32
239: Specimen_001_J23_J23.fcs	667	1974	2.96
240: Specimen_001_J24_J24.fcs	989	1402	1.42
241: Specimen_001_K1_K01.fcs	867	2616	3.02
242: Specimen_001_K2_K02.fcs	389	416	1.07
243: Specimen_001_K3_K03.fcs	4962	2700	0.54
244: Specimen_001_K4_K04.fcs	202	242	1.2
245: Specimen_001_K5_K05.fcs	319	425	1.33
246: Specimen_001_K6_K06.fcs	156	258	1.65
247: Specimen_001_K7_K07.fcs	308	437	1.42
248: Specimen_001_K8_K08.fcs	440	554	1.26
249: Specimen_001_K9_K09.fcs	442	1015	2.3
250: Specimen_001_K10_K10.fcs	235	252	1.07
251: Specimen_001_K11_K11.fcs	141	240	1.7
252: Specimen_001_K12_K12.fcs	192	221	1.15
253: Specimen_001_K13_K13.fcs	179	340	1.9
254: Specimen_001_K14_K14.fcs	227	271	1.19
255: Specimen_001_K15_K15.fcs	4182	5018	1.2
256: Specimen_001_K16_K16.fcs	192	256	1.33
257: Specimen_001_K17_K17.fcs	3650	4583	1.26
258: Specimen_001_K18_K18.fcs	245	317	1.29
259: Specimen_001_K19_K19.fcs	4974	6024	1.21
260: Specimen_001_K20_K20.fcs	242	293	1.21
261: Specimen_001_K21_K21.fcs	168	220	1.31
262: Specimen_001_K22_K22.fcs	268	794	2.96
263: Specimen_001_K23_K23.fcs	107	175	1.64
264: Specimen_001_K24_K24.fcs	483	581	1.2
265: Specimen_001_L1_L01.fcs	5393	6698	1.24
266: Specimen_001_L2_L02.fcs	684	2568	3.75
267: Specimen_001_L3_L03.fcs	249	378	1.52
268: Specimen_001_L4_L04.fcs	883	1352	1.53
269: Specimen_001_L5_L05.fcs	202	263	1.3
270: Specimen_001_L6_L06.fcs	327	432	1.32
271: Specimen_001_L7_L07.fcs	302	1132	3.75
272: Specimen_001_L8_L08.fcs	239	280	1.17
273: Specimen_001_L9_L09.fcs	193	246	1.27
274: Specimen_001_L10_L10.fcs	4792	5739	1.2
275: Specimen_001_L11_L11.fcs	362	864	2.39
276: Specimen_001_L12_L12.fcs	200	264	1.32
277: Specimen_001_L13_L13.fcs	1467	1964	1.34
278: Specimen_001_L14_L14.fcs	189	266	1.41
279: Specimen_001_L15_L15.fcs	4009	5612	1.4
280: Specimen_001_L16_L16.fcs	1369	1592	1.16
281: Specimen_001_L17_L17.fcs	459	1300	2.83
282: Specimen_001_L18_L18.fcs	4482	5099	1.14
283: Specimen_001_L19_L19.fcs	136	181	1.33
284: Specimen_001_L20_L20.fcs	1164	1747	1.5
285: Specimen_001_L21_L21.fcs	4276	5262	1.23
286: Specimen_001_L22_L22.fcs	235	280	1.19
287: Specimen_001_L23_L23.fcs	1528	2213	1.45
288: Specimen_001_L24_L24.fcs	149	242	1.62
289: Specimen_001_M1_M01.fcs	269	246	0.91
290: Specimen_001_M2_M02.fcs	176	273	1.55
291: Specimen_001_M3_M03.fcs	272	392	1.44
292: Specimen_001_M4_M04.fcs	3816	5300	1.39
293: Specimen_001_M5_M05.fcs	356	1280	3.6
294: Specimen_001_M6_M06.fcs	1894	1783	0.94
295: Specimen_001_M7_M07.fcs	3199	4427	1.38
296: Specimen_001_M8_M08.fcs	265	462	1.74
297: Specimen_001_M9_M09.fcs	245	426	1.74
298: Specimen_001_M10_M10.fcs	389	459	1.18
299: Specimen_001_M11_M11.fcs	683	576	0.84
300: Specimen_001_M12_M12.fcs	193	227	1.18
301: Specimen_001_M13_M13.fcs	3902	5355	1.37
302: Specimen_001_M14_M14.fcs	3474	2704	0.78
303: Specimen_001_M15_M15.fcs	267	635	2.38
304: Specimen_001_M16_M16.fcs	170	260	1.53
305: Specimen_001_M17_M17.fcs	199	258	1.3
306: Specimen_001_M18_M18.fcs	181	193	1.07
307: Specimen_001_M19_M19.fcs	268	310	1.16
308: Specimen_001_M20_M20.fcs	479	732	1.53
309: Specimen_001_M21_M21.fcs	3792	3985	1.05
310: Specimen_001_M22_M22.fcs	222	232	1.05
311: Specimen_001_M23_M23.fcs	235	513	2.18
312: Specimen_001_M24_M24.fcs	3878	4629	1.19
313: Specimen_001_N1_N01.fcs	3921	4968	1.27
314: Specimen_001_N2_N02.fcs	3596	4208	1.17
315: Specimen_001_N3_N03.fcs	141	218	1.55
316: Specimen_001_N4_N04.fcs	174	213	1.22
317: Specimen_001_N5_N05.fcs	177	219	1.24
318: Specimen_001_N6_N06.fcs	198	200	1.01
319: Specimen_001_N7_N07.fcs	707	1048	1.48
320: Specimen_001_N8_N08.fcs	3610	4532	1.26
321: Specimen_001_N9_N09.fcs	145	245	1.69
322: Specimen_001_N10_N10.fcs	3806	4786	1.26
323: Specimen_001_N11_N11.fcs	884	3385	3.83
324: Specimen_001_N12_N12.fcs	153	221	1.44
325: Specimen_001_N13_N13.fcs	113	267	2.36
326: Specimen_001_N14_N14.fcs	255	285	1.12
327: Specimen_001_N15_N15.fcs	131	190	1.45
328: Specimen_001_N16_N16.fcs	233	318	1.36
329: Specimen_001_N17_N17.fcs	4329	5359	1.24
330: Specimen_001_N18_N18.fcs	544	1901	3.49
331: Specimen_001_N19_N19.fcs	224	202	0.9
332: Specimen_001_N20_N20.fcs	383	469	1.22
333: Specimen_001_N21_N21.fcs	281	253	0.9
334: Specimen_001_N22_N22.fcs	4974	5746	1.16
335: Specimen_001_N23_N23.fcs	580	2357	4.06
336: Specimen_001_N24_N24.fcs	286	419	1.47
337: Specimen_001_O1_O01.fcs	3195	4403	1.38
338: Specimen_001_O2_O02.fcs	4079	4849	1.19
339: Specimen_001_O3_O03.fcs	211	227	1.08
340: Specimen_001_O4_O04.fcs	338	341	1.01
341: Specimen_001_O5_O05.fcs	247	277	1.12
342: Specimen_001_O6_O06.fcs	206	427	2.07
343: Specimen_001_O7_O07.fcs	319	242	0.76
344: Specimen_001_O8_O08.fcs	862	3423	3.97
345: Specimen_001_O9_O09.fcs	5011	5861	1.17
346: Specimen_001_O10_O10.fcs	103	280	2.72
347: Specimen_001_O11_O11.fcs	3863	4937	1.28
348: Specimen_001_O12_O12.fcs	3797	5118	1.35
349: Specimen_001_O13_O13.fcs	166	285	1.72
350: Specimen_001_O14_O14.fcs	989	1413	1.43
351: Specimen_001_O15_O15.fcs	192	262	1.36
352: Specimen_001_O16_O16.fcs	866	1119	1.29
353: Specimen_001_O17_O17.fcs	1164	1822	1.57
354: Specimen_001_O18_O18.fcs	136	250	1.84
355: Specimen_001_O19_O19.fcs	191	211	1.1
356: Specimen_001_O20_O20.fcs	457	649	1.42
357: Specimen_001_O21_O21.fcs	186	239	1.28
358: Specimen_001_O22_O22.fcs	3072	2439	0.79
359: Specimen_001_O23_O23.fcs	428	2734	6.39
360: Specimen_001_O24_O24.fcs	193	2141	11.1
361: Specimen_001_P1_P01.fcs	571	395	0.69
362: Specimen_001_P2_P02.fcs	5535	2434	0.44
363: Specimen_001_P3_P03.fcs	250	338	1.35
364: Specimen_001_P4_P04.fcs	133	233	1.75
365: Specimen_001_P5_P05.fcs	1024	590	0.58
366: Specimen_001_P6_P06.fcs	137	196	1.43
367: Specimen_001_P7_P07.fcs	316	422	1.34
368: Specimen_001_P8_P08.fcs	294	307	1.04
369: Specimen_001_P9_P09.fcs	384	1169	3.04
370: Specimen_001_P10_P10.fcs	478	248	0.52
371: Specimen_001_P11_P11.fcs	421	492	1.17
372: Specimen_001_P12_P12.fcs	212	692	3.26
373: Specimen_001_P13_P13.fcs	152	228	1.5
374: Specimen_001_P14_P14.fcs	212	246	1.16
375: Specimen_001_P15_P15.fcs	1506	2064	1.37
376: Specimen_001_P16_P16.fcs	202	230	1.14
377: Specimen_001_P17_P17.fcs	390	291	0.75
378: Specimen_001_P18_P18.fcs	368	308	0.84
379: Specimen_001_P19_P19.fcs	58.3	259	4.44
380: Specimen_001_P20_P20.fcs	283	334	1.18
381: Specimen_001_P21_P21.fcs	887	2759	3.11
382: Specimen_001_P22_P22.fcs	272	429	1.58
383: Specimen_001_P23_P23.fcs	342	2149	6.28
384: Specimen_001_P24_P24.fcs	155	2154	13.9
Mean	1134	1926	4.8
StdDev	1617	4154	30.9
